pokemonNumber,pokemonName,imageUrl,classification,alternateFormName,originalPokemonId,legendaryType,pokemonHeight,pokemonWeight,primaryType,secondaryType,primaryAbility,primaryAbilityDescription,secondaryAbility,secondaryAbilityDescription,hiddenAbility,hiddenAbilityDescription,specialEventAbility,specialEventAbilityDescription,maleRatio,femaleRatio,baseHappiness,gameOfOrigin,regionOfOrigin,healthStat,attackStat,defenseStat,specialAttackStat,specialDefenseStat,speedStat,baseStatTotal,healthEV,attackEV,defenseEV,specialAttackEV,specialDefenseEV,speedEV,evYieldTotal,catchRate,experienceGrowth,experienceGrowthTotal,experienceYield,primaryEggGroup,secondaryEggGroup,eggCycleCount,preEvolutionPokemonId,evolutionDetails
136,Flareon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/136.png,Flame Pokemon,,,,0.9,25,Fire,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,65,130,60,95,110,65,525,0,2,0,0,0,0,2,45,Medium Fast,1000000,184,Field,,35,228,Fire Stone
137,Porygon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/137.png,Virtual Pokemon,,,,0.8,36.5,Normal,,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,Analytic,Boosts move power when the Pokémon moves last.,,,0,0,70,Red / Blue / Yellow,Kanto,65,60,70,85,75,40,395,0,0,0,1,0,0,1,45,Medium Fast,1000000,79,Mineral,,20,,
138,Omanyte,https://assets.pokemon.com/assets/cms2/img/pokedex/full/138.png,Spiral Pokemon,,,,0.4,7.5,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,35,40,100,90,55,35,355,0,0,1,0,0,0,1,45,Medium Fast,1000000,71,Water 1,Water 3,30,,
139,Omastar,https://assets.pokemon.com/assets/cms2/img/pokedex/full/139.png,Spiral Pokemon,,,,1,35,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,70,60,125,115,70,55,495,0,0,2,0,0,0,2,45,Medium Fast,1000000,173,Water 1,Water 3,30,233,Level 40
140,Kabuto,https://assets.pokemon.com/assets/cms2/img/pokedex/full/140.png,Shellfish Pokemon,,,,0.5,11.5,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Battle Armor,Hard armor protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,30,80,90,55,45,55,355,0,0,1,0,0,0,1,45,Medium Fast,1000000,71,Water 1,Water 3,30,,
141,Kabutops,https://assets.pokemon.com/assets/cms2/img/pokedex/full/141.png,Shellfish Pokemon,,,,1.3,40.5,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Battle Armor,Hard armor protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,60,115,105,65,70,80,495,0,2,0,0,0,0,2,45,Medium Fast,1000000,173,Water 1,Water 3,30,235,Level 40
142,Aerodactyl,https://assets.pokemon.com/assets/cms2/img/pokedex/full/142.png,Fossil Pokemon,,,,1.8,59,Rock,Flying,Rock Head,Protects the Pokémon from recoil damage.,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,80,105,65,60,75,130,515,0,0,0,0,0,2,2,45,Slow,1250000,180,Flying,,35,,
142,Aerodactyl,https://assets.pokemon.com/assets/cms2/img/pokedex/full/142_f2.png,Fossil Pokemon,Mega,237,,2.1,79,Rock,Flying,Tough Claws,Powers up moves that make direct contact. ,,,,,,,87.5,12.5,70,X / Y,Kalos,80,135,85,70,95,150,615,0,0,0,0,0,2,2,45,Slow,1250000,215,Flying,,35,,
143,Snorlax,https://assets.pokemon.com/assets/cms2/img/pokedex/full/143.png,Sleeping Pokemon,,,,2.1,460,Normal,,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,87.5,12.5,70,Red / Blue / Yellow,Kanto,160,110,65,65,110,30,540,2,0,0,0,0,0,2,25,Slow,1250000,189,Monster,,40,644,
143,Snorlax,https://assets.pokemon.com/assets/cms2/img/pokedex/full/143_f2.png,Sleeping Pokemon,Gigantamax,238,,35,0,Normal,,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,87.5,12.5,70,Sword / Shield,Galar,160,110,65,65,110,30,540,2,0,0,0,0,0,2,25,Slow,1250000,189,Monster,,40,,
144,Articuno,https://assets.pokemon.com/assets/cms2/img/pokedex/full/144.png,Freeze Pokemon,,,Legendary,1.7,55.4,Ice,Flying,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,0,0,35,Red / Blue / Yellow,Kanto,90,85,100,95,125,85,580,0,0,0,0,3,0,3,3,Slow,1250000,261,Undiscovered,,80,,
145,Zapdos,https://assets.pokemon.com/assets/cms2/img/pokedex/full/145.png,Electric Pokemon,,,Legendary,1.6,52.6,Electric,Flying,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,0,0,35,Red / Blue / Yellow,Kanto,90,90,85,125,90,100,580,0,0,0,3,0,0,3,3,Slow,1250000,261,Undiscovered,,80,,
146,Moltres,https://assets.pokemon.com/assets/cms2/img/pokedex/full/146.png,Flame Pokemon,,,Legendary,2,60,Fire,Flying,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Flame Body,Contact with the Pokémon may burn the attacker.,,,0,0,35,Red / Blue / Yellow,Kanto,90,100,90,125,85,90,580,0,0,0,3,0,0,3,3,Slow,1250000,261,Undiscovered,,80,,
147,Dratini,https://assets.pokemon.com/assets/cms2/img/pokedex/full/147.png,Dragon Pokemon,,,,1.8,3.3,Dragon,,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,,,50,50,35,Red / Blue / Yellow,Kanto,41,64,45,50,50,50,300,0,1,0,0,0,0,1,45,Slow,1250000,60,Water 1,Dragon,40,,
148,Dragonair,https://assets.pokemon.com/assets/cms2/img/pokedex/full/148.png,Dragon Pokemon,,,,4,16.5,Dragon,,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,,,50,50,35,Red / Blue / Yellow,Kanto,61,84,65,70,70,70,420,0,2,0,0,0,0,2,45,Slow,1250000,147,Water 1,Dragon,40,242,Level 30
149,Dragonite,https://assets.pokemon.com/assets/cms2/img/pokedex/full/149.png,Dragon Pokemon,,,,2.2,210,Dragon,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.,,,50,50,35,Red / Blue / Yellow,Kanto,91,134,95,100,100,80,600,0,3,0,0,0,0,3,45,Slow,1250000,270,Water 1,Dragon,40,243,Level 55
150,Mewtwo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/150.png,Genetic Pokemon,,,Legendary,2,122,Psychic,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,,,0,0,0,Red / Blue / Yellow,Kanto,106,110,90,154,90,130,680,0,0,0,3,0,0,3,3,Slow,1250000,306,Undiscovered,,120,,
150,Mewtwo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/150_f2.png,Genetic Pokemon,Mega X,43,,2.3,127,Psychic,,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,,,,,,,0,0,0,X / Y,Kalos,106,190,100,154,100,130,780,0,0,0,3,0,0,3,3,Slow,1250000,351,Undiscovered,,120,,
150,Mewtwo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/150_f3.png,Genetic Pokemon,Mega Y,43,,1.5,33,Psychic,,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,,,,,,,0,0,0,X / Y,Kalos,106,150,70,194,120,140,780,0,0,0,3,0,0,3,3,Slow,1250000,351,Undiscovered,,120,,
151,Mew,https://assets.pokemon.com/assets/cms2/img/pokedex/full/151.png,New Species Pokemon,,,Mythical,0.4,4,Psychic,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",,,,,,,0,0,100,Red / Blue / Yellow,Kanto,100,100,100,100,100,100,600,3,0,0,0,0,0,3,45,Medium Slow,1059860,270,Undiscovered,,120,,
152,Chikorita,https://assets.pokemon.com/assets/cms2/img/pokedex/full/152.png,Leaf Pokemon,,,,0.9,6.4,Grass,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,45,49,65,49,65,45,318,0,0,0,0,1,0,1,45,Medium Slow,1059860,64,Monster,Grass,20,,
153,Bayleef,https://assets.pokemon.com/assets/cms2/img/pokedex/full/153.png,Leaf Pokemon,,,,1.2,15.8,Grass,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,60,62,80,63,80,60,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,142,Monster,Grass,20,245,Level 16
154,Meganium,https://assets.pokemon.com/assets/cms2/img/pokedex/full/154.png,Herb Pokemon,,,,1.8,100.5,Grass,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,80,82,100,83,100,80,525,0,0,1,0,2,0,3,45,Medium Slow,1059860,236,Monster,Grass,20,246,Level 32
155,Cyndaquil,https://assets.pokemon.com/assets/cms2/img/pokedex/full/155.png,Fire Mouse Pokemon,,,,0.5,7.9,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Field,,20,,
156,Quilava,https://assets.pokemon.com/assets/cms2/img/pokedex/full/156.png,Volcano Pokemon,,,,0.9,19,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,142,Field,,20,248,Level 14
157,Typhlosion,https://assets.pokemon.com/assets/cms2/img/pokedex/full/157.png,Volcano Pokemon,,,,1.7,79.5,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Field,,20,249,Level 36
158,Totodile,https://assets.pokemon.com/assets/cms2/img/pokedex/full/158.png,Big Jaw Pokemon,,,,0.6,9.5,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,50,65,64,44,48,43,314,0,1,0,0,0,0,1,45,Medium Slow,1059860,63,Monster,Water 1,20,,
159,Croconaw,https://assets.pokemon.com/assets/cms2/img/pokedex/full/159.png,Big Jaw Pokemon,,,,1.1,25,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,65,80,80,59,63,58,405,0,1,1,0,0,0,2,45,Medium Slow,1059860,142,Monster,Water 1,20,251,Level 18
160,Feraligatr,https://assets.pokemon.com/assets/cms2/img/pokedex/full/160.png,Big Jaw Pokemon,,,,2.3,88.8,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,85,105,100,79,83,78,530,0,2,1,0,0,0,3,45,Medium Slow,1059860,239,Monster,Water 1,20,252,Level 30
161,Sentret,https://assets.pokemon.com/assets/cms2/img/pokedex/full/161.png,Scout Pokemon,,,,0.8,6,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",,,50,50,70,Gold / Silver / Crystal,Johto,35,46,34,35,45,20,215,0,1,0,0,0,0,1,255,Medium Fast,1000000,43,Field,,15,,
162,Furret,https://assets.pokemon.com/assets/cms2/img/pokedex/full/162.png,Long Body Pokemon,,,,1.8,32.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",,,50,50,70,Gold / Silver / Crystal,Johto,85,76,64,45,55,90,415,0,0,0,0,0,2,2,90,Medium Fast,1000000,145,Field,,15,254,Level 15
163,Hoothoot,https://assets.pokemon.com/assets/cms2/img/pokedex/full/163.png,Owl Pokemon,,,,0.7,21.2,Normal,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",,,50,50,70,Gold / Silver / Crystal,Johto,60,30,30,36,56,50,262,1,0,0,0,0,0,1,255,Medium Fast,1000000,52,Flying,,15,,
164,Noctowl,https://assets.pokemon.com/assets/cms2/img/pokedex/full/164.png,Owl Pokemon,,,,1.6,40.8,Normal,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",,,50,50,70,Gold / Silver / Crystal,Johto,100,50,50,86,96,70,452,2,0,0,0,0,0,2,90,Medium Fast,1000000,158,Flying,,15,256,Level 20
165,Ledyba,https://assets.pokemon.com/assets/cms2/img/pokedex/full/165.png,Five Star Pokemon,,,,1,10.8,Bug,Flying,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",,,50,50,70,Gold / Silver / Crystal,Johto,40,20,30,40,80,55,265,0,0,0,0,1,0,1,255,Fast,800000,53,Bug,,15,,
166,Ledian,https://assets.pokemon.com/assets/cms2/img/pokedex/full/166.png,Five Star Pokemon,,,,1.4,35.6,Bug,Flying,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Iron Fist,Powers up punching moves.,,,50,50,70,Gold / Silver / Crystal,Johto,55,35,50,55,110,85,390,0,0,0,0,2,0,2,90,Fast,800000,137,Bug,,15,258,Level 18
167,Spinarak,https://assets.pokemon.com/assets/cms2/img/pokedex/full/167.png,String Spit Pokemon,,,,0.5,8.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Sniper,Powers up moves if they become critical hits when attacking.,,,50,50,70,Gold / Silver / Crystal,Johto,40,60,40,40,40,30,250,0,1,0,0,0,0,1,255,Fast,800000,50,Bug,,15,,
168,Ariados,https://assets.pokemon.com/assets/cms2/img/pokedex/full/168.png,Long Leg Pokemon,,,,1.1,33.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Sniper,Powers up moves if they become critical hits when attacking.,,,50,50,70,Gold / Silver / Crystal,Johto,70,90,70,60,70,40,400,0,2,0,0,0,0,2,90,Fast,800000,140,Bug,,15,260,Level 22
169,Crobat,https://assets.pokemon.com/assets/cms2/img/pokedex/full/169.png,Bat Pokemon,,,,1.8,75,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",,,50,50,70,Gold / Silver / Crystal,Johto,85,90,80,70,80,130,535,0,0,0,0,0,3,3,90,Medium Fast,1000000,241,Flying,,15,62,
170,Chinchou,https://assets.pokemon.com/assets/cms2/img/pokedex/full/170.png,Angler Pokemon,,,,0.5,12,Water,Electric,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,,,50,50,70,Gold / Silver / Crystal,Johto,75,38,38,56,56,67,330,1,0,0,0,0,0,1,190,Slow,1250000,66,Water 2,,20,,
171,Lanturn,https://assets.pokemon.com/assets/cms2/img/pokedex/full/171.png,Light Pokemon,,,,1.2,22.5,Water,Electric,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,,,50,50,70,Gold / Silver / Crystal,Johto,125,58,58,76,76,67,460,2,0,0,0,0,0,2,75,Slow,1250000,161,Water 2,,20,262,Level 27
172,Pichu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/172.png,Tiny Mouse Pokemon,,,,0.3,2,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,50,50,70,Gold / Silver / Crystal,Johto,20,40,15,35,35,60,205,0,0,0,0,0,1,1,190,Medium Fast,1000000,41,Undiscovered,,10,,
173,Cleffa,https://assets.pokemon.com/assets/cms2/img/pokedex/full/173.png,Star Shape Pokemon,,,,0.3,3,Fairy,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Bounce,Reflects status moves instead of getting hit by them.,Friend Guard,Reduces damage done to allies.,,,25,75,140,Gold / Silver / Crystal,Johto,50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,Fast,800000,44,Undiscovered,,10,,
174,Igglybuff,https://assets.pokemon.com/assets/cms2/img/pokedex/full/174.png,Balloon Pokemon,,,,0.3,1,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,,,25,75,70,Gold / Silver / Crystal,Johto,90,30,15,40,20,15,210,1,0,0,0,0,0,1,170,Fast,800000,45,Undiscovered,,10,,
175,Togepi,https://assets.pokemon.com/assets/cms2/img/pokedex/full/175.png,Spike Ball Pokemon,,,,0.3,1.5,Fairy,,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,35,20,65,40,65,20,245,0,0,0,0,1,0,1,190,Fast,800000,49,Undiscovered,,10,,
176,Togetic,https://assets.pokemon.com/assets/cms2/img/pokedex/full/176.png,Happiness Pokemon,,,,0.6,3.2,Fairy,Flying,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,,,87.5,12.5,70,Gold / Silver / Crystal,Johto,55,40,85,80,105,40,405,0,0,0,0,2,0,2,75,Fast,800000,142,Flying,Fairy,10,264,
177,Natu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/177.png,Tiny Bird Pokemon,,,,0.2,2,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Magic Bounce,Reflects status moves instead of getting hit by them.,,,50,50,70,Gold / Silver / Crystal,Johto,40,50,45,70,45,70,320,0,0,0,1,0,0,1,190,Medium Fast,1000000,64,Flying,,20,,
178,Xatu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/178.png,Mystic Pokemon,,,,1.5,15,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Magic Bounce,Reflects status moves instead of getting hit by them.,,,50,50,70,Gold / Silver / Crystal,Johto,65,75,70,95,70,95,470,0,0,0,1,0,1,2,75,Medium Fast,1000000,165,Flying,,20,266,Level 25
179,Mareep,https://assets.pokemon.com/assets/cms2/img/pokedex/full/179.png,Wool Pokemon,,,,0.6,7.8,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,,,50,50,70,Gold / Silver / Crystal,Johto,55,40,40,65,45,35,280,0,0,0,1,0,0,1,235,Medium Slow,1059860,56,Monster,Field,20,,
180,Flaaffy,https://assets.pokemon.com/assets/cms2/img/pokedex/full/180.png,Wool Pokemon,,,,0.8,13.3,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,,,50,50,70,Gold / Silver / Crystal,Johto,70,55,55,80,60,45,365,0,0,0,2,0,0,2,120,Medium Slow,1059860,128,Monster,Field,20,278,Level 15
181,Ampharos,https://assets.pokemon.com/assets/cms2/img/pokedex/full/181.png,Light Pokemon,,,,1.4,61.5,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,,,50,50,70,Gold / Silver / Crystal,Johto,90,75,85,115,90,55,510,0,0,0,3,0,0,3,45,Medium Slow,1059860,230,Monster,Field,20,279,Level 30
181,Ampharos,https://assets.pokemon.com/assets/cms2/img/pokedex/full/181.png,Light Pokemon,Mega,280,,1.4,61.5,Electric,Dragon,Mold Breaker,Moves can be used on the target regardless of its Abilities.,,,,,,,50,50,70,X / Y,Kalos,90,95,105,165,110,45,610,0,0,0,3,0,0,3,45,Medium Slow,1059860,275,Monster,Field,20,,
182,Bellossom,https://assets.pokemon.com/assets/cms2/img/pokedex/full/182.png,Flower Pokemon,,,,0.4,5.8,Grass,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,Healer,Sometimes heals an ally's status condition.,,,50,50,70,Gold / Silver / Crystal,Johto,75,80,95,90,100,50,490,0,0,0,0,3,0,3,45,Medium Slow,1059860,221,Grass,,20,65,Sun Stone
183,Marill,https://assets.pokemon.com/assets/cms2/img/pokedex/full/183.png,Aqua Mouse Pokemon,,,,0.4,8.5,Water,Fairy,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Huge Power,Doubles the Pokémon's Attack stat.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,,,50,50,70,Gold / Silver / Crystal,Johto,70,20,50,20,50,40,250,2,0,0,0,0,0,2,190,Fast,800000,88,Water 1,Fairy,10,284,
184,Azumarill,https://assets.pokemon.com/assets/cms2/img/pokedex/full/184.png,Aqua Rabbit Pokemon,,,,0.8,28.5,Water,Fairy,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Huge Power,Doubles the Pokémon's Attack stat.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,,,50,50,70,Gold / Silver / Crystal,Johto,100,50,80,60,80,50,420,3,0,0,0,0,0,3,75,Fast,800000,189,Water 1,Fairy,10,283,Level 18
185,Sudowoodo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/185.png,Imitation Pokemon,,,,1.2,38,Rock,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",,,50,50,70,Gold / Silver / Crystal,Johto,70,110,115,30,65,30,420,0,0,2,0,0,0,2,65,Medium Fast,1000000,144,Mineral,,20,636,Knowing Mimic
186,Politoed,https://assets.pokemon.com/assets/cms2/img/pokedex/full/186.png,Frog Pokemon,,,,1.1,33.9,Water,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Drizzle,The Pokémon makes it rain when it enters a battle.,,,50,50,70,Gold / Silver / Crystal,Johto,90,75,75,90,100,70,500,0,0,0,0,3,0,3,45,Medium Slow,1059860,225,Water 1,,20,982,King's Rock
187,Hoppip,https://assets.pokemon.com/assets/cms2/img/pokedex/full/187.png,Cottonweed Pokemon,,,,0.4,0.5,Grass,Flying,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",,,50,50,70,Gold / Silver / Crystal,Johto,35,35,40,35,55,50,250,0,0,0,0,1,0,1,255,Medium Slow,1059860,50,Fairy,Grass,20,,
188,Skiploom,https://assets.pokemon.com/assets/cms2/img/pokedex/full/188.png,Cottonweed Pokemon,,,,0.6,1,Grass,Flying,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",,,50,50,70,Gold / Silver / Crystal,Johto,55,45,50,45,65,80,340,0,0,0,0,0,2,2,120,Medium Slow,1059860,119,Fairy,Grass,20,287,Level 18
189,Jumpluff,https://assets.pokemon.com/assets/cms2/img/pokedex/full/189.png,Cottonweed Pokemon,,,,0.8,3,Grass,Flying,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",,,50,50,70,Gold / Silver / Crystal,Johto,75,55,70,55,95,110,460,0,0,0,0,0,3,3,45,Medium Slow,1059860,207,Fairy,Grass,20,288,Level 27
